"_id","Calendar Date","TD of Greatest Eclipse","Eclipse Type","Saros Series","Eclipse Magnitude","Central Duration","Geographic Region of Eclipse Visibility","Location"
"607ade1a3010a708ac56cc66","2001 Jun 21","12:03:46","Total","127","1.05","04m57s","e S. America, Africa","[Total: s Atlantic, s Africa, Madagascar]"
"607ade1a3010a708ac56cc67","2001 Dec 14","20:53:01","Annular","132","0.968","03m53s","N. & C. America, nw S. America","[Annular: c Pacific, Costa Rica]"
"607ade1a3010a708ac56cc68","2002 Jun 10","23:45:22","Annular","137","0.996","00m23s","e Asia, Australia, w N. America","[Annular: n Pacific, w Mexico]"
"607ade1a3010a708ac56cc69","2002 Dec 04","7:32:15","Total","142","1.024","02m04s","s Africa, Antarctica, Indonesia, Australia","[Total: s Africa, s Indian, s Australia]"
"607ade1a3010a708ac56cc6a","2003 May 31","4:09:23","Annular","147","0.938","03m37s","Europe, Asia, nw N. America","[Annular: Iceland, Greenland]"
"607ade1a3010a708ac56cc6b","2003 Nov 23","22:50:22","Total","152","1.038","01m57s","Australia, N. Z., Antarctica, s S. America","[Total: Antarctica]"
"607ade1a3010a708ac56cc6c","2004 Apr 19","13:35:05","Partial","119","0.737","-","Antarctica, s Africa",""
"607ade1a3010a708ac56cc6d","2004 Oct 14","3:00:23","Partial","124","0.928","-","ne Asia, Hawaii, Alaska",""
"607ade1a3010a708ac56cc6e","2005 Apr 08","20:36:50","Hybrid","129","1.007","00m42s","N. Zealand, N. & S. America","[Hybrid: s Pacific, Panama, Colombia, Venezuela]"
"607ade1a3010a708ac56cc6f","2005 Oct 03","10:32:47","Annular","134","0.958","04m32s","Europe, Africa, s Asia","[Annular: Portugal, Spain, Libia, Sudan, Kenya]"
"607ade1a3010a708ac56cc70","2006 Mar 29","10:12:22","Total","139","1.052","04m07s","Africa, Europe, w Asia","[Total: c Africa, Turkey, Russia]"
"607ade1a3010a708ac56cc71","2006 Sep 22","11:41:16","Annular","144","0.935","07m09s","S. America, w Africa, Antarctica","[Annular: Guyana, Suriname, F. Guiana, s Atlantic]"
"607ade1a3010a708ac56cc72","2007 Mar 19","2:32:57","Partial","149","0.876","-","Asia, Alaska",""
"607ade1a3010a708ac56cc73","2007 Sep 11","12:32:24","Partial","154","0.751","-","S. America, Antarctica",""
"607ade1a3010a708ac56cc74","2008 Feb 07","3:56:10","Annular","121","0.965","02m12s","Antarctica, e Australia, N. Zealand","[Annular: Antarctica]"
"607ade1a3010a708ac56cc75","2008 Aug 01","10:22:12","Total","126","1.039","02m27s","ne N. America, Europe, Asia","[Total: n Canada, Greenland, Siberia, Mongolia, China]"
"607ade1a3010a708ac56cc76","2009 Jan 26","7:59:45","Annular","131","0.928","07m54s","s Africa, Antarctica, se Asia, Australia","[Annular: s Indian, Sumatra, Borneo]"
"607ade1a3010a708ac56cc77","2009 Jul 22","2:36:25","Total","136","1.08","06m39s","e Asia, Pacific Ocean, Hawaii","[Total: India, Nepal, China, c Pacific]"
"607ade1a3010a708ac56cc78","2010 Jan 15","7:07:39","Annular","141","0.919","11m08s","Africa, Asia","[Annular: c Africa, India, Burma, China]"
"607ade1a3010a708ac56cc79","2010 Jul 11","19:34:38","Total","146","1.058","05m20s","s S. America","[Total: s Pacific, Easter Is., Chile, Argentina]"
"607ade1a3010a708ac56cc7a","2011 Jan 04","8:51:42","Partial","151","0.858","-","Europe, Africa, c Asia",""
"607ade1a3010a708ac56cc7b","2011 Jun 01","21:17:18","Partial","118","0.601","-","e Asia, n N. America, Iceland",""
"607ade1a3010a708ac56cc7c","2011 Jul 01","8:39:30","Partial","156","0.097","-","s Indian Ocean",""
"607ade1a3010a708ac56cc7d","2011 Nov 25","6:21:24","Partial","123","0.905","-","s Africa, Antarctica, Tasmania, N.Z.",""
"607ade1a3010a708ac56cc7e","2012 May 20","23:53:53","Annular","128","0.944","05m46s","Asia, Pacific, N. America","[Annular: China, Japan, Pacific, w U.S.]"
"607ade1a3010a708ac56cc7f","2012 Nov 13","22:12:55","Total","133","1.05","04m02s","Australia, N.Z., s Pacific, s S. America","[Total: n Australia, s Pacific]"
"607ade1a3010a708ac56cc80","2013 May 10","0:26:20","Annular","138","0.954","06m03s","Australia, N.Z., c Pacific","[Annular: n Australia, Solomon Is., c Pacific]"
"607ade1a3010a708ac56cc81","2013 Nov 03","12:47:36","Hybrid","143","1.016","01m40s","e Americas, s Europe, Africa","[Hybrid: Atlantic, c Africa]"
"607ade1a3010a708ac56cc82","2014 Apr 29","6:04:32","Annular","148","0.987","-","s Indian, Australia, Antarctica","[Annular: Antarctica]"
"607ade1a3010a708ac56cc83","2014 Oct 23","21:45:39","Partial","153","0.811","-","n Pacific, N. America",""
"607ade1a3010a708ac56cc84","2015 Mar 20","9:46:47","Total","120","1.045","02m47s","Iceland, Europe, n Africa, n Asia","[Total: n Atlantic, Faeroe Is, Svalbard]"
"607ade1a3010a708ac56cc85","2015 Sep 13","6:55:19","Partial","125","0.788","-","s Africa, s Indian, Antarctica",""
"607ade1a3010a708ac56cc86","2016 Mar 09","1:58:19","Total","130","1.045","04m09s","e Asia, Australia, Pacific","[Total: Sumatra, Borneo, Sulawesi, Pacific]"
"607ade1a3010a708ac56cc87","2016 Sep 01","9:08:02","Annular","135","0.974","03m06s","Africa, Indian Ocean","[Annular: Atlantic, c Africa, Madagascar, Indian]"
"607ade1a3010a708ac56cc88","2017 Feb 26","14:54:32","Annular","140","0.992","00m44s","s S. America, Atlantic, Africa, Antarctica","[Annular: Pacific, Chile, Argentina, Atlantic, Africa]"
"607ade1a3010a708ac56cc89","2017 Aug 21","18:26:40","Total","145","1.031","02m40s","N. America, n S. America","[Total: n Pacific, U.S., s Atlantic]"
"607ade1a3010a708ac56cc8a","2018 Feb 15","20:52:33","Partial","150","0.599","-","Antarctica, s S. America",""
"607ade1a3010a708ac56cc8b","2018 Jul 13","3:02:16","Partial","117","0.336","-","s Australia",""
"607ade1a3010a708ac56cc8c","2018 Aug 11","9:47:28","Partial","155","0.737","-","n Europe, ne Asia",""
"607ade1a3010a708ac56cc8d","2019 Jan 06","1:42:38","Partial","122","0.715","-","ne Asia, n Pacific",""
"607ade1a3010a708ac56cc8e","2019 Jul 02","19:24:07","Total","127","1.046","04m33s","s Pacific, S. America","[Total: s Pacific, Chile, Argentina]"
"607ade1a3010a708ac56cc8f","2019 Dec 26","5:18:53","Annular","132","0.97","03m39s","Asia, Australia","[Annular: Saudi Arabia, India, Sumatra, Borneo]"
"607ade1a3010a708ac56cc90","2020 Jun 21","6:41:15","Annular","137","0.994","00m38s","Africa, se Europe, Asia","[Annular: c Africa, s Asia, China, Pacific]"
"607ade1a3010a708ac56cc91","2020 Dec 14","16:14:39","Total","142","1.025","02m10s","Pacific, s S. America, Antarctica","[Total: s Pacific, Chile, Argentina, s Atlantic]"
"607ade1a3010a708ac56cc92","2021 Jun 10","10:43:06","Annular","147","0.943","03m51s","n N. America, Europe, Asia","[Annular: n Canada, Greenland, Russia]"
"607ade1a3010a708ac56cc93","2021 Dec 04","7:34:38","Total","152","1.037","01m54s","Antarctica, S. Africa, s Atlantic","[Total: Antarctica]"
"607ade1a3010a708ac56cc94","2022 Apr 30","20:42:36","Partial","119","0.64","-","se Pacific, s S. America",""
"607ade1a3010a708ac56cc95","2022 Oct 25","11:01:19","Partial","124","0.862","-","Europe, ne Africa, Mid East, w Asia",""
"607ade1a3010a708ac56cc96","2023 Apr 20","4:17:55","Hybrid","129","1.013","01m16s","se Asia, E. Indies, Australia, Philippines. N.Z.","[Hybrid: Indonesia, Australia, Papua New Guinea]"
"607ade1a3010a708ac56cc97","2023 Oct 14","18:00:40","Annular","134","0.952","05m17s","N. America, C. America, S. America","[Annular: w US, C. America, Colombia, Brazil]"
"607ade1a3010a708ac56cc98","2024 Apr 08","18:18:29","Total","139","1.057","04m28s","N. America, C. America","[Total: Mexico, c US, e Canada]"
"607ade1a3010a708ac56cc99","2024 Oct 02","18:46:13","Annular","144","0.933","07m25s","Pacific, s S. America","[Annular: s Chile, s Argentina]"
"607ade1a3010a708ac56cc9a","2025 Mar 29","10:48:36","Partial","149","0.938","-","nw Africa, Europe, n Russia",""
"607ade1a3010a708ac56cc9b","2025 Sep 21","19:43:04","Partial","154","0.855","-","s Pacific, N.Z., Antarctica",""
"607ade1a3010a708ac56cc9c","2026 Feb 17","12:13:05","Annular","121","0.963","02m20s","s Argentina & Chile, s Africa, Antarctica","[Annular: Antarctica]"
"607ade1a3010a708ac56cc9d","2026 Aug 12","17:47:05","Total","126","1.039","02m18s","n N. America, w Africa, Europe","[Total: Arctic, Greenland, Iceland, Spain]"
"607ade1a3010a708ac56cc9e","2027 Feb 06","16:00:47","Annular","131","0.928","07m51s","S. America, Antarctica, w & s Africa","[Annular: Chile, Argentina, Atlantic]"
"607ade1a3010a708ac56cc9f","2027 Aug 02","10:07:49","Total","136","1.079","06m23s","Africa, Europe, Mid East, w & s Asia","[Total:Morocco, Spain, Algeria, Libya, Egypt, Saudi Arabia, Yemen, Somalia]"
"607ade1a3010a708ac56cca0","2028 Jan 26","15:08:58","Annular","141","0.921","10m27s","e N. America, C. & S. America, w Europe, nw Africa","[Annular: Ecuador, Peru, Brazil, Suriname, Spain, Portugal]"
"607ade1a3010a708ac56cca1","2028 Jul 22","2:56:39","Total","146","1.056","05m10s","SE Asia, E. Indies, Australia, N.Z.","[Total: Australia, N. Z.]"
"607ade1a3010a708ac56cca2","2029 Jan 14","17:13:47","Partial","151","0.871","-","N. America, C. America",""
"607ade1a3010a708ac56cca3","2029 Jun 12","4:06:13","Partial","118","0.458","-","Arctic, Scandanavia, Alaska, n Asia, n Canada",""
"607ade1a3010a708ac56cca4","2029 Jul 11","15:37:18","Partial","156","0.23","-","s Chile, s Argentina",""
"607ade1a3010a708ac56cca5","2029 Dec 05","15:03:57","Partial","123","0.891","-","s Argentina, s Chile, Antarctica",""
"607ade1a3010a708ac56cca6","2030 Jun 01","6:29:13","Annular","128","0.944","05m21s","Europe, n Africa, Mid East, Asia, Arctic, Alaska","[Annular: Algeria, Tunisia, Greece, Turkey, Russia, n. China, Japan]"
"607ade1a3010a708ac56cca7","2030 Nov 25","6:51:37","Total","133","1.047","03m44s","s Africa, s Indian Oc., E. Indies, Australia, Antarctica","[Total: Botswana, S. Africa, Australia]"